"province","predicted_bin","frequency_counts","total_area_sq_m","total_area_sq_km","percentage_province"
"1","Very Low",1088778,10887780000,10887.78,44.6542221813913
"2","Very Low",343719,3437190000,3437.19,75.0824069604119
"3","Very Low",1023744,10237440000,10237.44,45.7425551460732
"4","Very Low",705654,7056540000,7056.54,42.4120870006323
"5","Very Low",1125184,11251840000,11251.84,53.4646813051992
"6","Very Low",687905,6879050000,6879.05,39.1142247604491
"7","Very Low",1090645,10906450000,10906.45,51.8033529721339
"1","Low",596101,5961010000,5961.01,24.4479834241228
"2","Low",65296,652960000,652.96,14.2633396608481
"3","Low",569506,5695060000,5695.06,25.4464588911091
"4","Low",452469,4524690000,4524.69,27.1948498741438
"5","Low",489021,4890210000,4890.21,23.2365123540237
"6","Low",512179,5121790000,5121.79,29.1224580771794
"7","Low",496598,4965980000,4965.98,23.5873647972124
"1","Medium",277310,2773100000,2773.1,11.3733583458902
"2","Medium",20451,204510000,204.51,4.46734194137474
"3","Medium",242198,2421980000,2421.98,10.8218024928777
"4","Medium",201519,2015190000,2015.19,12.1119434741111
"5","Medium",194833,1948330000,1948.33,9.25776073312087
"6","Medium",217532,2175320000,2175.32,12.3688525895146
"7","Medium",201003,2010030000,2010.03,9.54722146753328
"1","High",357613,3576130000,3576.13,14.6668378282385
"2","High",20550,205500000,205.5,4.48896762482279
"3","High",297516,2975160000,2975.16,13.2935011456371
"4","High",233797,2337970000,2337.97,14.0519556390056
"5","High",225659,2256590000,2256.59,10.7225009586432
"6","High",262298,2622980000,2622.98,14.914243865383
"7","High",243528,2435280000,2435.28,11.5670698922178
"1","Very High",118440,1184400000,1184.4,4.85759822035713
"2","Very High",7773,77730000,77.73,1.69794381254246
"3","Very High",105092,1050920000,1050.92,4.69568232430288
"4","Very High",70365,703650000,703.65,4.2291640121072
"5","Very High",69840,698400000,698.4,3.31854464901306
"6","Very High",78794,787940000,787.94,4.4802207074739
"7","Very High",73582,735820000,735.82,3.49499087090259
